Başlık,Marka,Ürün Modeli,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,İşlemci Cache,Temel İşlemci Hızı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Bellek Hızı,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Ekran Panel Tipi,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı İşlemcisi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Lenovo LOQ 15IAX9E I5-12450HX 15.6"" FHD 16 GB ram 512 GB SSD RTX 4050 144Hz IPS 83LK002PTR",Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,"Gümüş, Gri",2 kg ve Altı,Intel Core i5,12450HX,12.Nesil,8,12 MB Cache,"3,1 GHz","4,4 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 4050,Nvidia GeForce RTX,6 GB,GDDR4,FreeDos,2025-12-02 04:01:39,"34.517,78 TL",https://www.hepsiburada.com/lenovo-loq-15iax9e-intel-core-i5-i5-12450hx-laptop-39-6-cm-15-6-full-hd-kalitesi-16-gb-ddr5-sdram-512-gb-ssd-nvidia-geforce-rtx-4050-wi-fi-6-pm-HBC00009UTUZW
"Casper Excalibur G870 Intel Core i7 13620H 16GB 1TB SSD RTX5050 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-BF50X-C",Casper,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,24 MB Cache,,"4,9 GHz",,DDR5,Belirtilmemiş,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,165 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5050,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:01:44,48.699 TL,https://www.hepsiburada.com/casper-excalibur-g870-intel-core-i7-13620h-16gb-1tb-ssd-rtx5050-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-bf50x-c-pm-HBC00009I2H2K
"Acer Nitro 16 NH.QSKEY.003 Ryzen 7 8845HS 16GB 512GB SSD RTX4060-140W Freedos 16"" WUXGA 180Hz Taşınabilir Bilgisayar",Acer,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,AMD Ryzen 7,8845HS,Ryzen,8,16 MB Cache,,"5,1 GHz",16 GB,DDR5,Belirtilmemiş,512 GB,Yok,16 inç,IPS,1920 x 1200,WUXGA,180 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 4060,Nvidia GeForce RTX,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:01:49,52.999 TL,https://www.hepsiburada.com/acer-nitro-16-nh-qskey-003-ryzen-7-8845hs-16gb-512gb-ssd-rtx4060-140w-freedos-16-wuxga-180hz-tasinabilir-bilgisayar-pm-HBC000087SPF3
"Lenovo Ideapad Slim 3 Intel Core I7 13620H 16GB 512GB SSD 16"" Wuxga IPS Fdos Taşınabilir Bilgisayar 83K2001WTR",Lenovo,Notebook,Ofis ve İş,"Gri, Gümüş - Gri",2 kg ve Altı,,Intel Core i7,13.Nesil,16,24 MB Cache,"3,6 GHz","4,9 GHz",16 GB,DDR5,4800 MHz,512 GB,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,,Intel UHD Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:01:53,28.500 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i7-13620h-16gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-bilgisayar-83k2001wtr-pm-HBC00008FG6KC
Asus Tuf Gaming A16 FA608PP-QT031 8gb Rtx 5070 Ryzen 9 8940HX 32GB Ram 1tb SSD 16 Inç Wqxga 165Hz,Asus,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,AMD Ryzen AI 9,8940HX,8.Nesil,,80 MB Cache,"2,4 GHz","5,3 GHz",,DDR5,Belirtilmemiş,,Yok,16 inç,FHD,2560 x 1600,WQXGA,165 Hz,Dahili Ekran Kartı,Nvidia GeForce RTX 5070,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:01:58,"86.679,70 TL",https://www.hepsiburada.com/asus-tuf-gaming-a16-fa608pp-qt031-8gb-rtx-5070-ryzen-9-8940hx-32gb-ram-1tb-ssd-16-inc-wqxga-165hz-pm-HBC00008ZFE05
Lenovo ThinkBook 14 G8 IAL Intel Core Ultra 7-255H 16GB DDR5 512GB SSD 14 inç WUXGA 60Hz IPS FreeDos Laptop (21SJ007BTX),Lenovo,Notebook,Ofis ve İş,"Gri, Gri",,Intel Core Ultra 7,255H,Intel Core Ultra Serisi,16,16 MB Cache,"1,5 GHz","5,1 GHz",,DDR5,5600 MHz,,Yok,14 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:02:03,44.199 TL,https://www.hepsiburada.com/lenovo-thinkbook-14-g8-ial-intel-core-ultra-7-255h-16gb-ddr5-512gb-ssd-14-inc-wuxga-60hz-ips-freedos-laptop-21sj007btx-p-HBCV00008YA1R6
"MSI MODERN 14 F13MG-429XTR Intel Core i5 1334U 16GB 512GB SSD Freedos 14"" FHD Taşınabilir Bilgisayar",MSI,Notebook,,Gri,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,12 MB Cache,,"4,6 GHz",,DDR4,3200 MHz,,Yok,14 inç,FHD,1920 x 1080,,,Onboard,Intel Iris Xe Graphics,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:02:08,"22.104,21 TL",https://www.hepsiburada.com/msi-modern-14-f13mg-429xtr-intel-core-i5-1334u-16gb-512gb-ssd-freedos-14-tasinabilir-bilgisayar-pm-HBC000095WKI8
"Monster Tulpar T7 V26.2.8 Intel Core I7 13620H 64 GB Ram 1 Tb SSD 8 GB Rtx 5060 Freedos 17,3"" Fhd 144 Hz Oyun Bilgisayarı",Monster,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,24 MB Cache,"2,4 GHz","4,9 GHz",,DDR5,5200 MHz,,Yok,"17,3 inç",FHD,1920 x 1080,Full HD,144 Hz,Dahili Ekran Kartı,Nvidia GeForce RTX 5060,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:02:13,80.876 TL,https://www.hepsiburada.com/monster-tulpar-t7-v26-2-8-intel-core-i7-13620h-64-gb-ram-1-tb-ssd-8-gb-rtx-5060-freedos-17-3-fhd-144-hz-oyun-bilgisayari-p-HBCV00008S4HZJ
"Asus Zenbook S 16 UM5606KA-RK120W AMD Ryzen AI 7 350 16GB 1TB SSD Windows 11 Home 16"" Taşınabilir Bilgisayar",Asus,Ultrabook,,Beyaz,2 kg ve Altı,AMD Ryzen 7,350,Ryzen,,24 MB Cache,,5 GHz,16 GB,LPDDR5X,7467 MHz,1 TB,Yok,16 inç,OLED,2880 x 1800,,,Dahili Ekran Kartı,AMD XDNA,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:02:17,78.999 TL,https://www.hepsiburada.com/asus-zenbook-s-16-um5606ka-rk120w-amd-ryzen-ai-7-350-16gb-1tb-ssd-windows-11-home-16-tasinabilir-bilgisayar-pm-HBC00008217RE
"Acer Nitro 16 AN16-42 Amd R7 8845HS 32GB 1TB SSD RTX4060-140W Dos 16"" Wuxga 180Hz Taşınabilir Bilgisayar NH.QSKEY.004-32",Acer,Oyun Bilgisayarları,Oyun ve Eğlence,"Siyah, Siyah",2 - 4 kg,AMD Ryzen 7,8845HS,8.Nesil,,16 MB L3 Cache,"3,8 GHz","5,1 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,180 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:02:22,"63.100,47 TL",https://www.hepsiburada.com/acer-nitro-16-an16-42-amd-r7-8845hs-32gb-1tb-ssd-rtx4060-140w-dos-16-wuxga-180hz-tasinabilir-bilgisayar-nh-qskey-004-32-pm-HBC00006XPT3G
"Lenovo LOQ Intel Core i7 13650HX 24GB 512GB SSD RTX5060 Freedos 15.6"" FHD 144Hz Oyuncu Taşınabilir Bilgisayar 83JE00ERTR",Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,13650HX,13.Nesil,14,24 MB Cache,"2,6 GHz","4,9 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5060,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:02:27,57.999 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13650hx-24gb-512gb-ssd-rtx5060-freedos-15-6-fhd-144hz-oyuncu-tasinabilir-bilgisayar-83je00ertr-pm-HBC00009PYKX2
HP Omen 16-AP0019NT C12CNEA Amd Ryzen 9-8940HX 32GB Ram 1tb SSD 8gb Geforce RTX5070 16 Inç 2k 144Hz Freedos Siyah Taşınabilir Bilgisayar,HP,Oyun Bilgisayarları,,"Siyah, Siyah",2 - 4 kg,AMD Ryzen 9,8940HX,8.Nesil,,64 MB L3 Cache,,"5,3 GHz",,DDR5,5200 MHz,,Yok,16 inç,IPS,1920 x 1200,,144 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 5070,,8 GB,GDDR7,FreeDos,2025-12-02 04:02:31,"78.450,84 TL",https://www.hepsiburada.com/hp-omen-16-ap0019nt-c12cnea-amd-ryzen-9-8940hx-32gb-ram-1tb-ssd-8gb-geforce-rtx5070-16-inc-2k-144hz-freedos-siyah-tasinabilir-bilgisayar-pm-HBC00009YWYMJ
"Asus Vivobook S14 M5406KA-PP130W Amd Ryzen AI 7 350 24GB 512GB SSD 14"" 3K(2880 x 1800) OLED Windows 11 Home Taşınabilir Bilgisayar",Asus,Notebook,Ofis ve İş,"Gümüş, Gümüş",2 kg ve Altı,AMD Ryzen AI 7,AMD Ryzen AI 7,Ryzen,8,24 MB Cache,2 GHz,5 GHz,,LPDDR5X,8000 MHz,,Yok,14 inç,OLED,2880 x 1800,OLED,120 Hz,Dahili Ekran Kartı,AMD Radeon Graphics,AMD Radeon,Paylaşımlı,Paylaşımlı,Windows 11 Home,2025-12-02 04:02:36,44.799 TL,https://www.hepsiburada.com/asus-vivobook-s14-m5406ka-pp130w-amd-ryzen-ai-7-350-24gb-512gb-ssd-14-3k-2880-x-1800-oled-windows-11-home-tasinabilir-bilgisayar-pm-HBC00008O3QYI
"MSI Msı Modern 15 F13MG-436XTR Dizüstü Bilgisayar, Intel Core I5-1334U, 15.6 Fhd, 16GB Ram Ddr4, Uma, 512GB Ssd, Dos, Grı",MSI,Notebook,Ofis ve İş,"Gri, Gri",2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,12 MB Cache,"4,6 GHz","4,6 GHz",,DDR4,3200 MHz,,512 GB,"15,6 inç",LED,1920 x 1080,Full HD,,Dahili Ekran Kartı,Intel Irıs Graphics,,Belirtilmemiş,Paylaşımlı,Yok (Free Dos),2025-12-02 04:02:40,23.895 TL,https://www.hepsiburada.com/msi-modern-15-f13mg-436xtr-dizustu-bilgisayar-intel-core-i5-1334u-15-6-fhd-16gb-ram-ddr4-uma-512gb-ssd-dos-gri-pm-HBC00009VU5IG
"Apple MacBook Air M3 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Yıldız Işığı MC9F4TU/A",Apple,Notebook,,Altın,2 kg ve Altı,Apple M3,Apple M3,Apple M3,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,15 inç,Liquid Retina Ekran,2880 x 1864,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Onboard,macOS,2025-12-02 04:02:45,"49.198,99 TL",https://www.hepsiburada.com/apple-macbook-air-m3-24gb-512gb-ssd-macos-15-tasinabilir-bilgisayar-yildiz-isigi-mc9k4tu-a-pm-HBC000078JET9
"Lenovo Ideapad 3 17IAU7 Intel Core-I5 1235U 16 GB 512 GB SSD Freedos 17.3"" Taşınabilir Bilgisayar",Lenovo,Notebook,Ev Kullanıcıları - Öğrenci,Gri,2 - 4 kg,Intel Core i5,Intel Core i5,12.Nesil,,12 MB Cache,,"4,4 GHz",,DDR4,3200 MHz,,Yok,"17,3 inç",IPS,1920 x 1080,Full HD,,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe Graphics,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:02:50,30.799 TL,https://www.hepsiburada.com/lenovo-ideapad-3-17iau7-intel-core-i5-1235u-16-gb-512-gb-ssd-freedos-17-3-tasinabilir-bilgisayar-p-HBCV0000657TL3
"Dell Vostro 3530 I5-1334U 8gb 512GB SSD 15.6"" Fhd Ubuntu Taşınabilir Bilgisayar N3409PVNB3530U",Dell,Notebook,Ofis ve İş,Siyah,1 - 2 kg,Intel Core i5,1334U,13.Nesil,10,12 MB Cache,"1,3 GHz","4,6 GHz",,DDR4,3200 MHz,,Yok,"15,6 inç",WVA,1920 x 1080,Full HD,120 Hz,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Paylaşımlı,Ubuntu,2025-12-02 04:02:54,"20.286,05 TL",https://www.hepsiburada.com/dell-vostro-3530-i5-1334u-8gb-512gb-ssd-15-6-fhd-ubuntu-tasinabilir-bilgisayar-n3409pvnb3530u-p-HBCV00007J9PDR
Lenovo Ideapad Slim 5 14IRH10 Intel I5 13420H Ddr5 16 GB 512 GB SSD Freedos 14 Inç OLED 83HR0070TR,Lenovo,Notebook,Ofis ve İş,Koyu Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,8,12 MB Cache,"2,1 GHz","3,4 GHz",,DDR5,5600 MHz,,Yok,14 inç,OLED,1920 x 1200,WUXGA,,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:02:59,26.899 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-5-14irh10-intel-i5-13420h-ddr5-16-gb-512-gb-ssd-freedos-14-inc-83hr0070tr-pm-HBC0000991FBY
"Lenovo LOQ Intel Core i7 13700HX 24GB 512GB SSD RTX5050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar 83JE00LATR",Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,13700HX,13.Nesil,16,30 MB Cache,"2,1 GHz",5 GHz,,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5050,,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:03:04,54.999 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-13700hx-24gb-512gb-ssd-rtx5050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-83je00latr-pm-HBC00009PYL81
"HP Victus Gaming 16-R1012NT 9J1K2EA İ7-14700HX 32 GB DDR5 1TB SSD 8GB RTX4070 240HZ QHD 16.1"" Freedos",HP,Oyun Bilgisayarları,Oyun ve Eğlence,Koyu Gri - Siyah,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,,33 MB Cache,,"5,3 GHz",32 GB,DDR5,5600 MHz,1 TB,Yok,"16,1 inç",IPS,2560 x 1440,QHD,240 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 4070,Nvidia GeForce RTX,8 GB,GDDR6,Yok (Free Dos),2025-12-02 04:03:09,"69.750,66 TL",https://www.hepsiburada.com/hp-victus-gaming-16-r1012nt-9j1k2ea-i7-14700hx-32-gb-ddr5-1tb-ssd-8gb-rtx4070-240hz-qhd-16-1-freedos-pm-HBC00005P9LZK
"Lenovo 15.6"" V15 82YU0124TX RYZEN 5 7520U 8GB- 512GB M2 NVME- O/B UHD FDOS",Lenovo,Notebook,Ofis ve İş,"Siyah, Siyah",2 - 4 kg,IP,340,Yok,,512 Kb Cache,"2,8 GHz","1,1 GHz",8 GB,DDR4,3200 MHz,250 GB,Yok,"15,6 inç",LCD,1920 x 1080,Full HD,60 Hz,Onboard,Intel Graphics,AMD Radeon,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:03:14,"17.738,58 TL",https://www.hepsiburada.com/lenovo-v15-g4-amn-82yu0124tx-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC000065LQYY
"Game Garaj Slayer R9T-5070 C3 Amd Ryzen 9 8945HX 64GB Ram 2tb SSD RTX5070 16"" 300Hz Qhd+ Freedos Gaming Laptop",Game Garaj,Oyun Bilgisayarları,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,AMD Ryzen 9,8945HX,Ryzen,,80 MB Cache,"2,5 GHz","5,4 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,2560 x 1600,QHD+,300 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5070,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:03:18,77.999 TL,https://www.hepsiburada.com/game-garaj-slayer-r9t-5070-c1-amd-ryzen-9-8945hx-32gb-ram-1tb-ssd-rtx5070-16-300hz-qhd-freedos-tasinabilir-bilgisasyar-pm-HBC00008SKAGE
"Apple MacBook Air M3 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Uzay Grisi MC9D4TU/A",Apple,Notebook,,Gri,2 kg ve Altı,Apple M3,Apple M3,Apple M3,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,15 inç,Liquid Retina Ekran,2880 x 1864,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Onboard,macOS,2025-12-02 04:03:23,51.899 TL,https://www.hepsiburada.com/apple-macbook-air-m3-16gb-256gb-ssd-macos-15-tasinabilir-bilgisayar-uzay-grisi-mc9d4tu-a-pm-HBC000078IN7Q
"HP 250 G10 Intel Core I7-1355U 16GB 512GB SSD 15.6"" Fhd Freedos Taşınabilir Bilgisayar 8A541EA",HP,Notebook,Ofis ve İş,Gri,1 - 2 kg,Intel Core i7,Belirtilmemiş,13.Nesil,,12 MB Cache,"1,2 GHz","3,7 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,60 Hz,Dahili Ekran Kartı,Intel Iris Xe Graphics,Paylaşımlı,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:03:28,25.790 TL,https://www.hepsiburada.com/hp-250-g10-intel-core-i7-1355u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-8a541ea-pm-HBC000065VI5J
"Game Garaj Slayer X5T-5050 C7 Intel Core I5 13500HX 16GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",Game Garaj,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i5,13500HX,13.Nesil,14,24 MB Cache,"2,4 GHz","4,7 GHz",,DDR5,4800 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,165 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5050,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 04:03:33,43.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x5t-5050-c7-intel-core-i5-13500hx-16gb-ram-1tb-ssd-rtx5050-16-wuxga-165hz-ips-freedos-oyuncu-laptop-pm-HBC0000APUILV
"Game Garaj Slayer R9T3D-5070TI C1 Amd Ryzen 9 9955HX3D 32GB Ram 1tb SSD RTX5070TI 16"" Qhd IPS 300Hz Freedos Taşınabilir Bilgisayar",Game Garaj,Oyun Bilgisayarları,Oyun ve Eğlence,Gri,2 - 4 kg,AMD Ryzen 9,9955HX3D,Ryzen,,128 MB Cache,"2,5 GHz","5,4 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,2560 x 1600,QHD+,300 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5070Ti,Nvidia GeForce RTX,12 GB,GDDR7,Yok (Free Dos),2025-12-02 04:03:37,96.499 TL,https://www.hepsiburada.com/game-garaj-slayer-r9t3d-5070ti-c1-amd-ryzen-9-9955hx3d-32gb-ram-1tb-ssd-rtx5070ti-16-qhd-ips-300hz-freedos-tasinabilir-bilgisayar-p-HBCV00008OZ399
Lenovo Ideapad Slim 3 16IRH10 GTI24 Intel Core I7 13620H 24GB 1tb SSD Freedos 16'' Fhd Taşınabilir Bilgisayar 83K2001VTR,Lenovo,Notebook,Ofis ve İş,Gri,1 - 2 kg,Intel Core i7,Intel Core i7,13.Nesil,,24 MB Cache,"3,6 GHz","4,9 GHz",,DDR5,4800 MHz,,Yok,16 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,Intel UHD Graphics,Intel UHD Graphics,Paylaşımlı,Paylaşımlı,Yok (Free Dos),2025-12-02 04:03:42,38.800 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-gti24-intel-core-i7-13620h-24gb-1tb-ssd-freedos-16-fhd-tasinabilir-bilgisayar-83k2001vtr-p-HBCV00008IJSDA
"Monster Abra A5 V20.7 Intel Core I7 13620H 16 GB Ram 500 GB SSD 6 GB Rtx 4050 Freedos 15,6"" Fhd 165 Hz Oyun Bilgisayarı",Monster,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,10,24 MB Cache,"2,4 GHz","4,9 GHz",,DDR5,5200 MHz,,Yok,"15,6 inç",FHD,1920 x 1080,Full HD,165 Hz,Dahili Ekran Kartı,Nvidia GeForce RTX 4050,Nvidia GeForce RTX,6 GB,GDDR6,Yok (Free Dos),2025-12-02 04:03:47,"44.024,02 TL",https://www.hepsiburada.com/monster-abra-a5-v20-7-intel-core-i7-13620h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-165-hz-oyun-bilgisayari-p-HBCV000095SQ8B
"Monster Tulpar T7 V26.2.9 Intel Core I7 13620H 64 GB Ram 1 Tb SSD 8 GB Rtx 5060 Windows 11 17,3"" Fhd 144 Hz Taşınabilir Bilgisayar",Monster,Oyun Bilgisayarları,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,24 MB Cache,"2,4 GHz","4,9 GHz",,DDR5,5200 MHz,,Yok,"17,3 inç",FHD,1920 x 1080,Full HD,144 Hz,Dahili Ekran Kartı,Nvidia GeForce RTX 5060,Nvidia GeForce RTX,8 GB,GDDR7,Windows 11 Home,2025-12-02 04:03:52,84.808 TL,https://www.hepsiburada.com/monster-tulpar-t7-v26-2-9-intel-core-i7-13620h-64-gb-ram-1-tb-ssd-8-gb-rtx-5060-windows-11-17-3-fhd-144-hz-tasinabilir-bilgisayar-p-HBCV00008S4JB2
"Lenovo 16"" Thınkbook 16 G6 21KK000WTR Ryzen 7 7730U-16GB RAM-512GB Nvme-Fdos",Lenovo,Notebook,,"Gri, Siyah - Gümüş",1 - 2 kg,AMD Ryzen 7,AMD Ryzen 7,7.Nesil,,16 MB Cache,2 GHz,"4,4 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,16 inç,WUXGA,1920 x 1200,WUXGA,,Dahili Ekran Kartı,AMD Radeon Graphics,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:03:56,26.999 TL,https://www.hepsiburada.com/lenovo-16-thinkbook-16-g6-21kk000wtr-ryzen-7-7730u-16gb-ram-512gb-nvme-fdos-pm-HBC000061QGF6
"MSI CROSSHAIR 18 HX AI A2XWGKG-014TR Intel Core Ultra 9 275HX 32GB 1TB SSD RTX5070 Windows 11 Home 18"" QHD+ 240Hz Taşınabilir Bilgisayar",MSI,Oyun Bilgisayarları,Oyun ve Eğlence,"Siyah, Siyah",2 - 4 kg,Intel Core Ultra 9,275HX,Intel Core Ultra Serisi,,36 MB Cache,,"5,4 GHz",32 GB,DDR5,6400 MHz,1 TB,Yok,18 inç,QHD+,2560 x 1600,QHD+,240 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5070,NVIDIA GeForce,8 GB,GDDR7,Windows 11 Home,2025-12-02 04:04:01,101.757 TL,https://www.hepsiburada.com/msi-crosshair-18-hx-ai-a2xwgkg-014tr-intel-core-ultra-9-275hx-32gb-1tb-ssd-rtx5070-windows-11-home-18-qhd-240hz-tasinabilir-bilgisayar-pm-HBC00008RAFQS
Lenovo LOQ 15IRX9 Intel Core i7 13650HX 32GB 1TB SSD RTX 3050 6GB (95W) 15.6'' 144Hz FHD IPS Panel Freedos Taşınabilir Bilgisayar 83DV011CTRH1,Lenovo,Oyun Bilgisayarları,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,Intel Core i7,13650HX,13.Nesil,,24 MB Cache,"2,60 GHz","4,9 GHz",,DDR5,4800 MHz,,Yok,"15,6 inç",IPS,1920 x 1080,Full HD,144 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 3050,Nvidia GeForce RTX,6 GB,GDDR6,Yok (Free Dos),2025-12-02 04:04:06,51.999 TL,https://www.hepsiburada.com/lenovo-loq-15irx9-intel-core-i7-13650hx-32gb-1tb-ssd-rtx-3050-6gb-95w-15-6-144hz-fhd-ips-panel-freedos-tasinabilir-bilgisayar-83dv011ctrh1-p-HBCV00008GKDQ4
"Lenovo Ideapad5 2 In 1 Amd Ryzen™ 7 8845HS 16GB 1tb SSD 14"" 83DR0039TR Freedos Dokunmatik Bilgisayar",Lenovo,İkisi Bir Arada,Ofis ve İş,Koyu Mavi,1 - 2 kg,AMD Ryzen 7,8845HS,8.Nesil,,16 MB L3 Cache,,"5,1 GHz",16 GB,LPDDR5X,6400 MHz,1 TB,Yok,14 inç,IPS,1920 x 1200,WUXGA,60 Hz,Dahili Ekran Kartı,AMD Radeon 780M,AMD Radeon,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 04:04:11,"40.999,99 TL",https://www.hepsiburada.com/lenovo-ideapad5-2-in-1-amd-ryzen-7-8845hs-16gb-1tb-ssd-14-dokunmatik-freedos-tasinabilir-bilgisayar-pm-HBC00006LVAL5
"Asus Zenbook S 14 OLED UX5406SA-PZ322W Intel Core Ultra 7 258V 32GB 1TB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",Asus,Ultrabook,Ofis ve İş,Gri,1 - 2 kg,,258V,Intel Core Ultra Serisi,,12 MB Cache,,"4,8 GHz",32 GB,LPDDR5X,4800 MHz,1 TB,Yok,14 inç,OLED,2880 x 1800,Full HD,120 Hz,Dahili Ekran Kartı,Intel Arc Graphics,Intel Arc Graphics,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 04:04:16,"66.569,05 TL",https://www.hepsiburada.com/asus-zenbook-s-14-oled-ux5406sa-pz322w-intel-core-ultra-7-258v-32gb-1tb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-HBC00007070MM
